url,authors,downloads,unique_downloads,views,unique_views,version_downloads,version_unique_downloads,version_unique_views,version_views
https://zenodo.org/records/17541532,"""Kabjesz, Lea and Gihlein, Lea and Lampert, Mara Harriet and Haase, Robert""",267,195,294,271,267,195,271,294
https://zenodo.org/records/17478160,"""Haase, Robert""",7,3,63,55,7,3,55,63
https://zenodo.org/records/17422917,"""Haase, Robert""",241,184,265,258,241,184,258,265
https://zenodo.org/records/17240205,"""Umlauft, Josefine""",272,262,78,69,272,262,69,78
https://zenodo.org/records/17203260,"""Haase, Robert""",413,353,251,234,265,228,204,218
https://zenodo.org/records/17186869,"""Haase, Robert""",382,322,467,458,290,247,366,372
https://zenodo.org/records/17158770,"""Schott, Philipp and Wolf, Gregor and Welz, Oliver""",14,14,176,166,14,14,166,176
https://zenodo.org/records/17158643,"""Welz, Oliver""",137,97,166,156,137,97,156,166
https://zenodo.org/records/17130780,"""Berger, Mike and Täschner, Matthias and Voigt, Pia""",172,155,152,145,172,155,145,152
https://zenodo.org/records/17116758,"""Haase, Robert""",404,350,839,809,404,350,809,839
https://zenodo.org/records/17093197,"""Kabjesz, Lea and Gihlein, Lea and Lampert, Mara Harriet and Götze, Luisa""",454,381,481,463,454,381,463,481
https://zenodo.org/records/17102027,"""Haase, Robert""",252,170,200,187,252,170,187,200
https://zenodo.org/records/17085991,"""Haase, Robert""",765,617,786,737,501,389,568,616
https://zenodo.org/records/17053832,"""Haase, Robert""",240,162,259,252,240,162,252,259
https://zenodo.org/records/17017890,"""Haase, Robert""",127,110,121,118,127,110,118,121
https://zenodo.org/records/16894343,"""Haase, Robert""",95,68,94,82,95,68,82,94
https://zenodo.org/records/15858127,"""Haase, Robert""",11811,11181,2004,1869,2754,2555,795,894
https://zenodo.org/records/15805268,"""Philipp, Schott and Gregor, Wolf and Oliver, Welz""",122,120,233,214,121,119,211,227
https://zenodo.org/records/15805148,"""Center for Scalable Data Analytics and Artificial Intelligence and Oliver, Welz""",242,214,154,140,242,214,140,154
https://zenodo.org/records/15735577,"""Haase, Robert""",688,505,816,732,688,505,732,816
https://zenodo.org/records/15706181,"""Haase, Robert""",627,545,303,285,411,343,219,233
https://zenodo.org/records/15699459,"""Haase, Robert""",725,650,502,488,579,521,350,358
https://zenodo.org/records/15654889,"""Taeschner, Matthias and Haase, Robert""",321,270,281,269,321,270,269,281
https://zenodo.org/records/15646539,"""Haase, Robert""",457,372,259,246,416,333,217,229
https://zenodo.org/records/15516022,"""Haase, Robert""",1739,1633,383,364,1282,1197,320,337
https://zenodo.org/records/17669681,"""Haase, Robert""",144,126,193,178,144,126,178,193
https://zenodo.org/records/17163932,"""Achkar, Pierre and Gollub, Tim and Potthast, Martin""",249,239,537,484,249,239,484,537
https://zenodo.org/records/16890132,"""Schröder, Christopher and Müller, Lydia and Niekler, Andreas and Potthast, Martin""",606,600,3518,3375,52,50,693,733
https://zenodo.org/records/15347992,"""Heineking, Sebastian and Zelch, Ines and Potthast, Martin and Hagen, Matthias""",2012,1979,1613,1501,713,711,603,647
https://zenodo.org/records/15270283,"""Heineking, Sebastian and Zelch, Ines and Bevendorff, Janek and Stein, Benno and Hagen, Matthias and Potthast, Martin""",3727,3640,2330,1955,2079,2075,731,984
https://zenodo.org/records/13860524,"""Gienapp, Lukas and Potthast, Martin and Wachsmuth, Henning and Hagen, Matthias and Fröbe, Maik and Bondarenko, Alexander and Ajjour, Yamen and Stein, Benno""",5371,4259,950,919,684,680,272,280
https://zenodo.org/records/11203881,"""Deckers, Niklas and Peters, Julia and Potthast, Martin""",94,88,549,506,65,59,339,366
https://zenodo.org/records/10628882,"""Akiki, Christopher and Barschel, Hanno and Elstner, Theresa and Fleisch, Till and Franke, Johannes and Fröbe, Maik and Gienapp, Lukas and Gründel, Marlene and Hagen, Matthias and Kucera, Paul and Marschner, Paul and Niederhausen, Tim and Potthast, Martin and Reimer, Jan Heinrich and Scells, Harrisen and Stein, Benno and Weber, Malte and Wild, Dominic""",31700,22681,121,114,31700,22681,114,121
https://zenodo.org/records/10628640,"""Scells, Harrisen and Elstner, Theresa and Fröbe, Maik and Akiki, Christopher and Gienapp, Lukas and Reimer, Jan Heinrich and Hagen, Matthias and Potthast, Martin""",13392,6069,178,175,13392,6069,175,178
https://zenodo.org/records/10036479,"""Wolska, Magdalena and Wiegmann, Matti and Schröder, Christopher and Borchardt, Ole and Stein, Benno and Potthast, Martin""",102,95,501,487,102,95,487,501
https://zenodo.org/records/8383863,"""Matti Wiegmann and Magdalena Wolska and Christopher Schröder and Ole Borchardt and Benno Stein and Martin Potthast""",356,227,1292,1073,54,52,296,330
https://zenodo.org/records/7976807,"""Wiegmann and Wolska and Schröder and Borchardt and Stein and Potthast""",163,138,632,572,161,136,566,626
https://zenodo.org/records/7525482,"""Niklas Deckers and Maik Fröbe and Johannes Kiesel and Gianluca Pandolfo and Christopher Schröder and Benno Stein and Martin Potthast""",246,213,204,193,194,169,133,139
https://zenodo.org/records/6873575,"""Kiesel, Johannes and Potthast, Martin and Stein, Benno""",7751,6243,1442,1372,6388,4974,801,854
https://zenodo.org/records/6873564,"""Potthast, Martin and Gienapp, Lukas and Wachsmuth, Henning and Hagen, Matthias and Fröbe, Maik and Bondarenko, Alexander and Ajjour, Yamen and Stein, Benno""",5513,3982,1270,1200,572,529,669,717
https://zenodo.org/records/6425595,"""Matti Wiegmann and Michael Vöslke and Martin Potthast and Benno Stein""",76,68,555,539,72,65,535,550
https://zenodo.org/records/5575320,"""Gienapp, Lukas and Kircheis, Wolfgang and Sievers, Bjarne and Stein, Benno and Potthast, Martin""",0,0,368,332,0,0,332,368
https://zenodo.org/records/5575285,"""Gienapp, Lukas and Kircheis, Wolfgang and Sievers, Bjarne and Stein, Benno and Potthast, Martin""",503,378,1118,1034,503,378,1034,1118
https://zenodo.org/records/5495793,"""Erik Körner and Ahmad Dawar Hakimi and Gerhard Heyer and Martin Potthast""",57,52,466,445,57,52,444,465
https://zenodo.org/records/5380989,"""Gregor Wiedemann and Erik Körner and Ahmad Dawar Hakimi and Gerhard Heyer and Martin Potthast""",185,177,482,450,185,177,450,482
https://zenodo.org/records/5282635,"""Ahmad Dawar Hakimi and Erik Körner and Gregor Wiedemann and Gerhard Heyer and Martin Potthast""",96,94,485,456,95,93,454,483
https://zenodo.org/records/4108196,"""Lars Meyer and Johannes Kiesel and Martin Potthast and Benno Stein""",183,173,297,280,183,173,280,297
https://zenodo.org/records/4064019,"""Kiesel, Johannes and Potthast, Martin and Hagen, Matthias and Kneist, Florian and Stein, Benno""",822585,407469,2984,2783,9109,3909,1035,1132
https://zenodo.org/records/3766985,"""Janek Bevendorff and Khalid Al-Khatib and Martin Potthast and Benno Stein""",943,478,1998,1674,943,478,1671,1995
https://zenodo.org/records/3653834,"""Chen ,Wei-Fan and Syed, Shahbaz and Potthast, Martin and Hagen, Matthias and Stein, Benno""",3157,760,1412,1294,3151,756,1287,1405
https://zenodo.org/records/7520777,"""Mailach, Alina and Siegmund, Norbert""",37,37,357,348,37,37,348,357
https://zenodo.org/records/7745740,"""Sebastian Simon""",67,67,307,300,55,55,272,277
https://zenodo.org/records/19635484,"""Haase, Robert""",13,13,12,12,13,13,12,12
https://zenodo.org/records/19633745,"""Haase, Robert""",17,16,41,39,17,16,39,41
https://zenodo.org/records/19629840,"""Welz, Oliver and Wolf, Gregor""",35,31,87,83,34,30,38,41
https://zenodo.org/records/19246441,"""Höck, Lina Lisa and Haase, Robert""",218,206,203,194,192,180,185,194
https://zenodo.org/records/18958000,"""Welz, Oliver""",30,26,39,32,30,26,32,39
https://zenodo.org/records/18908461,"""Haase, Robert""",160,130,167,157,150,120,141,149
https://zenodo.org/records/18804366,"""Haase, Robert""",100,89,155,148,100,89,148,155
https://zenodo.org/records/18735653,"""Haase, Robert""",80,76,76,74,80,76,74,76
https://zenodo.org/records/18377121,"""Haase, Robert""",666,619,382,366,280,237,290,305
https://zenodo.org/records/18283705,"""Nestler, Till and Burghardt, Thomas""",55,55,216,187,55,55,187,216
https://zenodo.org/records/18301532,"""Burghardt, Thomas and Alzin, Ahmad""",49,49,205,165,49,49,165,205
https://zenodo.org/records/18297737,"""Haase, Robert""",456,376,530,498,401,328,433,461
https://zenodo.org/records/17978132,"""Engelhardt, Claudia and Haase, Robert and Hundt, Carolin and Langermann, Florence and Voigt, Pia""",1786,1753,501,471,1773,1740,340,358
https://zenodo.org/records/17935652,"""Welz, Oliver""",6,6,73,69,6,6,69,73
https://zenodo.org/records/17901300,"""Haase, Robert""",299,283,268,262,197,184,211,214
