url,authors,downloads,unique_downloads,views,unique_views,version_downloads,version_unique_downloads,version_unique_views,version_views
https://zenodo.org/records/17541532,"""Kabjesz, Lea and Gihlein, Lea and Lampert, Mara Harriet and Haase, Robert""",277,203,308,285,277,203,285,308
https://zenodo.org/records/17478160,"""Haase, Robert""",7,3,73,65,7,3,65,73
https://zenodo.org/records/17422917,"""Haase, Robert""",256,199,309,302,256,199,302,309
https://zenodo.org/records/17240205,"""Umlauft, Josefine""",288,278,89,80,288,278,80,89
https://zenodo.org/records/17203260,"""Haase, Robert""",447,387,298,281,290,253,248,262
https://zenodo.org/records/17186869,"""Haase, Robert""",423,363,531,522,322,279,424,430
https://zenodo.org/records/17158770,"""Schott, Philipp and Wolf, Gregor and Welz, Oliver""",15,15,189,179,15,15,179,189
https://zenodo.org/records/17158643,"""Welz, Oliver""",142,102,171,161,142,102,161,171
https://zenodo.org/records/17130780,"""Berger, Mike and Täschner, Matthias and Voigt, Pia""",175,158,157,150,175,158,150,157
https://zenodo.org/records/17116758,"""Haase, Robert""",415,360,852,822,415,360,822,852
https://zenodo.org/records/17093197,"""Kabjesz, Lea and Gihlein, Lea and Lampert, Mara Harriet and Götze, Luisa""",485,409,503,485,485,409,485,503
https://zenodo.org/records/17102027,"""Haase, Robert""",271,187,215,202,271,187,202,215
https://zenodo.org/records/17085991,"""Haase, Robert""",803,649,828,779,523,407,594,642
https://zenodo.org/records/17053832,"""Haase, Robert""",262,184,310,303,262,184,303,310
https://zenodo.org/records/17017890,"""Haase, Robert""",147,129,169,165,147,129,165,169
https://zenodo.org/records/16894343,"""Haase, Robert""",95,68,98,86,95,68,86,98
https://zenodo.org/records/15858127,"""Haase, Robert""",12570,11915,2158,2022,3012,2798,845,945
https://zenodo.org/records/15805268,"""Philipp, Schott and Gregor, Wolf and Oliver, Welz""",128,126,247,228,127,125,225,241
https://zenodo.org/records/15805148,"""Center for Scalable Data Analytics and Artificial Intelligence and Oliver, Welz""",244,216,160,146,244,216,146,160
https://zenodo.org/records/15735577,"""Haase, Robert""",708,523,832,748,708,523,748,832
https://zenodo.org/records/15706181,"""Haase, Robert""",652,570,322,304,432,364,230,244
https://zenodo.org/records/15699459,"""Haase, Robert""",834,749,567,540,687,619,397,418
https://zenodo.org/records/15654889,"""Taeschner, Matthias and Haase, Robert""",343,292,293,281,343,292,281,293
https://zenodo.org/records/15646539,"""Haase, Robert""",488,403,266,253,441,358,223,235
https://zenodo.org/records/15516022,"""Haase, Robert""",1852,1741,409,389,1390,1300,341,359
https://zenodo.org/records/17669681,"""Haase, Robert""",149,131,204,189,149,131,189,204
https://zenodo.org/records/17163932,"""Achkar, Pierre and Gollub, Tim and Potthast, Martin""",292,272,555,501,292,272,501,555
https://zenodo.org/records/16890132,"""Schröder, Christopher and Müller, Lydia and Niekler, Andreas and Potthast, Martin""",641,630,3728,3582,56,52,752,793
https://zenodo.org/records/15347992,"""Heineking, Sebastian and Zelch, Ines and Potthast, Martin and Hagen, Matthias""",2060,2027,1679,1567,728,726,627,671
https://zenodo.org/records/15270283,"""Heineking, Sebastian and Zelch, Ines and Bevendorff, Janek and Stein, Benno and Hagen, Matthias and Potthast, Martin""",4020,3879,2383,2003,2242,2211,754,1009
https://zenodo.org/records/13860524,"""Gienapp, Lukas and Potthast, Martin and Wachsmuth, Henning and Hagen, Matthias and Fröbe, Maik and Bondarenko, Alexander and Ajjour, Yamen and Stein, Benno""",5440,4328,976,944,705,701,290,299
https://zenodo.org/records/11203881,"""Deckers, Niklas and Peters, Julia and Potthast, Martin""",105,94,575,531,76,65,355,383
