url,authors,downloads,unique_downloads,views,unique_views,version_downloads,version_unique_downloads,version_unique_views,version_views
https://zenodo.org/records/17541532,"""Kabjesz, Lea and Gihlein, Lea and Lampert, Mara Harriet and Haase, Robert""",265,193,283,263,265,193,263,283
https://zenodo.org/records/17478160,"""Haase, Robert""",7,3,57,50,7,3,50,57
https://zenodo.org/records/17422917,"""Haase, Robert""",236,179,239,232,236,179,232,239
https://zenodo.org/records/17240205,"""Umlauft, Josefine""",244,234,78,69,244,234,69,78
https://zenodo.org/records/17203260,"""Haase, Robert""",384,324,229,212,248,211,182,196
https://zenodo.org/records/17186869,"""Haase, Robert""",368,309,436,427,279,237,336,342
https://zenodo.org/records/17158770,"""Schott, Philipp and Wolf, Gregor and Welz, Oliver""",14,14,176,166,14,14,166,176
https://zenodo.org/records/17158643,"""Welz, Oliver""",133,93,165,155,133,93,155,165
https://zenodo.org/records/17130780,"""Berger, Mike and Täschner, Matthias and Voigt, Pia""",164,147,148,141,164,147,141,148
https://zenodo.org/records/17116758,"""Haase, Robert""",403,349,826,796,403,349,796,826
https://zenodo.org/records/17093197,"""Kabjesz, Lea and Gihlein, Lea and Lampert, Mara Harriet and Götze, Luisa""",411,345,454,438,411,345,438,454
https://zenodo.org/records/17102027,"""Haase, Robert""",247,165,189,176,247,165,176,189
https://zenodo.org/records/17085991,"""Haase, Robert""",747,600,767,718,492,381,558,606
https://zenodo.org/records/17053832,"""Haase, Robert""",233,155,234,227,233,155,227,234
https://zenodo.org/records/17017890,"""Haase, Robert""",116,99,97,94,116,99,94,97
https://zenodo.org/records/16894343,"""Haase, Robert""",95,68,93,81,95,68,81,93
https://zenodo.org/records/15858127,"""Haase, Robert""",11475,10847,1927,1793,2695,2497,779,877
https://zenodo.org/records/15805268,"""Philipp, Schott and Gregor, Wolf and Oliver, Welz""",117,115,221,205,116,114,202,215
https://zenodo.org/records/15805148,"""Center for Scalable Data Analytics and Artificial Intelligence and Oliver, Welz""",234,208,150,136,234,208,136,150
https://zenodo.org/records/15735577,"""Haase, Robert""",679,496,808,724,679,496,724,808
https://zenodo.org/records/15706181,"""Haase, Robert""",591,512,290,273,393,328,210,223
https://zenodo.org/records/15699459,"""Haase, Robert""",692,617,493,479,546,488,341,349
https://zenodo.org/records/15654889,"""Taeschner, Matthias and Haase, Robert""",311,261,272,260,311,261,260,272
https://zenodo.org/records/15646539,"""Haase, Robert""",425,340,252,239,385,302,211,223
https://zenodo.org/records/15516022,"""Haase, Robert""",1606,1501,366,347,1188,1104,305,322
https://zenodo.org/records/17669681,"""Haase, Robert""",142,124,188,173,142,124,173,188
https://zenodo.org/records/17163932,"""Achkar, Pierre and Gollub, Tim and Potthast, Martin""",220,210,529,476,220,210,476,529
https://zenodo.org/records/16890132,"""Schröder, Christopher and Müller, Lydia and Niekler, Andreas and Potthast, Martin""",581,575,3387,3256,50,48,660,698
https://zenodo.org/records/15347992,"""Heineking, Sebastian and Zelch, Ines and Potthast, Martin and Hagen, Matthias""",1918,1885,1583,1473,673,671,588,632
https://zenodo.org/records/15270283,"""Heineking, Sebastian and Zelch, Ines and Bevendorff, Janek and Stein, Benno and Hagen, Matthias and Potthast, Martin""",3651,3564,2312,1937,2012,2008,718,971
https://zenodo.org/records/13860524,"""Gienapp, Lukas and Potthast, Martin and Wachsmuth, Henning and Hagen, Matthias and Fröbe, Maik and Bondarenko, Alexander and Ajjour, Yamen and Stein, Benno""",5299,4187,931,900,640,636,265,273
https://zenodo.org/records/11203881,"""Deckers, Niklas and Peters, Julia and Potthast, Martin""",94,88,543,501,65,59,335,361
https://zenodo.org/records/10628882,"""Akiki, Christopher and Barschel, Hanno and Elstner, Theresa and Fleisch, Till and Franke, Johannes and Fröbe, Maik and Gienapp, Lukas and Gründel, Marlene and Hagen, Matthias and Kucera, Paul and Marschner, Paul and Niederhausen, Tim and Potthast, Martin and Reimer, Jan Heinrich and Scells, Harrisen and Stein, Benno and Weber, Malte and Wild, Dominic""",31670,22651,121,114,31670,22651,114,121
https://zenodo.org/records/10628640,"""Scells, Harrisen and Elstner, Theresa and Fröbe, Maik and Akiki, Christopher and Gienapp, Lukas and Reimer, Jan Heinrich and Hagen, Matthias and Potthast, Martin""",13391,6068,176,173,13391,6068,173,176
https://zenodo.org/records/10036479,"""Wolska, Magdalena and Wiegmann, Matti and Schröder, Christopher and Borchardt, Ole and Stein, Benno and Potthast, Martin""",99,92,499,485,99,92,485,499
https://zenodo.org/records/8383863,"""Matti Wiegmann and Magdalena Wolska and Christopher Schröder and Ole Borchardt and Benno Stein and Martin Potthast""",351,222,1274,1057,50,48,289,321
https://zenodo.org/records/7976807,"""Wiegmann and Wolska and Schröder and Borchardt and Stein and Potthast""",161,136,627,568,159,134,562,621
https://zenodo.org/records/7525482,"""Niklas Deckers and Maik Fröbe and Johannes Kiesel and Gianluca Pandolfo and Christopher Schröder and Benno Stein and Martin Potthast""",238,205,199,188,187,162,130,136
https://zenodo.org/records/6873575,"""Kiesel, Johannes and Potthast, Martin and Stein, Benno""",7638,6130,1423,1353,6341,4927,784,837
https://zenodo.org/records/6873564,"""Potthast, Martin and Gienapp, Lukas and Wachsmuth, Henning and Hagen, Matthias and Fröbe, Maik and Bondarenko, Alexander and Ajjour, Yamen and Stein, Benno""",5444,3914,1255,1185,544,501,656,704
https://zenodo.org/records/6425595,"""Matti Wiegmann and Michael Vöslke and Martin Potthast and Benno Stein""",76,68,553,537,72,65,533,548
https://zenodo.org/records/5575320,"""Gienapp, Lukas and Kircheis, Wolfgang and Sievers, Bjarne and Stein, Benno and Potthast, Martin""",0,0,361,327,0,0,327,361
https://zenodo.org/records/5575285,"""Gienapp, Lukas and Kircheis, Wolfgang and Sievers, Bjarne and Stein, Benno and Potthast, Martin""",493,368,1108,1024,493,368,1024,1108
https://zenodo.org/records/5495793,"""Erik Körner and Ahmad Dawar Hakimi and Gerhard Heyer and Martin Potthast""",53,48,465,444,53,48,443,464
https://zenodo.org/records/5380989,"""Gregor Wiedemann and Erik Körner and Ahmad Dawar Hakimi and Gerhard Heyer and Martin Potthast""",185,177,473,441,185,177,441,473
https://zenodo.org/records/5282635,"""Ahmad Dawar Hakimi and Erik Körner and Gregor Wiedemann and Gerhard Heyer and Martin Potthast""",96,94,483,454,95,93,452,481
https://zenodo.org/records/4108196,"""Lars Meyer and Johannes Kiesel and Martin Potthast and Benno Stein""",178,168,293,276,178,168,276,293
https://zenodo.org/records/4064019,"""Kiesel, Johannes and Potthast, Martin and Hagen, Matthias and Kneist, Florian and Stein, Benno""",822383,407267,2963,2764,9033,3833,1024,1119
https://zenodo.org/records/3766985,"""Janek Bevendorff and Khalid Al-Khatib and Martin Potthast and Benno Stein""",943,478,1987,1663,943,478,1660,1984
https://zenodo.org/records/3653834,"""Chen ,Wei-Fan and Syed, Shahbaz and Potthast, Martin and Hagen, Matthias and Stein, Benno""",3123,726,1409,1291,3117,722,1284,1402
https://zenodo.org/records/7520777,"""Mailach, Alina and Siegmund, Norbert""",35,35,355,346,35,35,346,355
https://zenodo.org/records/7745740,"""Sebastian Simon""",63,63,302,295,54,54,269,274
https://zenodo.org/records/19635484,"""Haase, Robert""",13,13,12,12,13,13,12,12
https://zenodo.org/records/19633745,"""Haase, Robert""",15,14,35,33,15,14,33,35
https://zenodo.org/records/19629840,"""Welz, Oliver and Wolf, Gregor""",21,17,65,61,20,16,21,24
https://zenodo.org/records/19246441,"""Höck, Lina Lisa and Haase, Robert""",196,184,170,161,174,162,153,162
https://zenodo.org/records/18958000,"""Welz, Oliver""",25,21,34,27,25,21,27,34
https://zenodo.org/records/18908461,"""Haase, Robert""",130,108,151,142,125,103,126,133
https://zenodo.org/records/18804366,"""Haase, Robert""",92,81,139,133,92,81,133,139
https://zenodo.org/records/18735653,"""Haase, Robert""",74,70,74,72,74,70,72,74
https://zenodo.org/records/18377121,"""Haase, Robert""",557,510,352,336,260,217,264,279
https://zenodo.org/records/18283705,"""Nestler, Till and Burghardt, Thomas""",43,43,185,156,43,43,156,185
https://zenodo.org/records/18301532,"""Burghardt, Thomas and Alzin, Ahmad""",37,37,177,141,37,37,141,177
https://zenodo.org/records/18297737,"""Haase, Robert""",439,359,502,470,384,311,405,433
https://zenodo.org/records/17978132,"""Engelhardt, Claudia and Haase, Robert and Hundt, Carolin and Langermann, Florence and Voigt, Pia""",1280,1251,472,453,1267,1238,326,337
https://zenodo.org/records/17935652,"""Welz, Oliver""",6,6,72,68,6,6,68,72
