url,authors,downloads,unique_downloads,views,unique_views,version_downloads,version_unique_downloads,version_unique_views,version_views
https://zenodo.org/records/17541532,"""Kabjesz, Lea and Gihlein, Lea and Lampert, Mara Harriet and Haase, Robert""",138,80,98,85,138,80,85,98
https://zenodo.org/records/17478160,"""Haase, Robert""",6,2,25,18,6,2,18,25
https://zenodo.org/records/17240205,"""Umlauft, Josefine""",122,112,24,24,122,112,24,24
https://zenodo.org/records/17158770,"""Schott, Philipp and Wolf, Gregor and Welz, Oliver""",11,11,124,115,11,11,115,124
https://zenodo.org/records/17130780,"""Berger, Mike and Täschner, Matthias and Voigt, Pia""",148,131,136,129,148,131,129,136
https://zenodo.org/records/17116758,"""Haase, Robert""",362,314,714,688,362,314,688,714
https://zenodo.org/records/16894343,"""Haase, Robert""",84,57,81,70,84,57,70,81
https://zenodo.org/records/15805148,"""Center for Scalable Data Analytics and Artificial Intelligence and Oliver, Welz""",111,87,125,112,111,87,112,125
https://zenodo.org/records/15735577,"""Haase, Robert""",615,435,727,644,615,435,644,727
https://zenodo.org/records/15699459,"""Haase, Robert""",444,381,364,353,316,269,228,234
https://zenodo.org/records/15654889,"""Taeschner, Matthias and Haase, Robert""",253,206,199,189,253,206,189,199
https://zenodo.org/records/15646539,"""Haase, Robert""",359,277,194,182,329,249,161,172
https://zenodo.org/records/15516022,"""Haase, Robert""",1221,1131,254,239,875,806,207,220
https://zenodo.org/records/17669681,"""Haase, Robert""",80,72,111,100,80,72,100,111
https://zenodo.org/records/17163932,"""Achkar, Pierre and Gollub, Tim and Potthast, Martin""",165,160,398,368,165,160,368,398
https://zenodo.org/records/16890132,"""Schröder, Christopher and Müller, Lydia and Niekler, Andreas and Potthast, Martin""",488,482,2450,2321,34,32,310,347
https://zenodo.org/records/15347992,"""Heineking, Sebastian and Zelch, Ines and Potthast, Martin and Hagen, Matthias""",1428,1396,868,797,508,506,271,290
https://zenodo.org/records/13860524,"""Gienapp, Lukas and Potthast, Martin and Wachsmuth, Henning and Hagen, Matthias and Fröbe, Maik and Bondarenko, Alexander and Ajjour, Yamen and Stein, Benno""",4643,3534,707,680,362,359,140,148
https://zenodo.org/records/10628882,"""Akiki, Christopher and Barschel, Hanno and Elstner, Theresa and Fleisch, Till and Franke, Johannes and Fröbe, Maik and Gienapp, Lukas and Gründel, Marlene and Hagen, Matthias and Kucera, Paul and Marschner, Paul and Niederhausen, Tim and Potthast, Martin and Reimer, Jan Heinrich and Scells, Harrisen and Stein, Benno and Weber, Malte and Wild, Dominic""",31279,22323,81,74,31279,22323,74,81
https://zenodo.org/records/10628640,"""Scells, Harrisen and Elstner, Theresa and Fröbe, Maik and Akiki, Christopher and Gienapp, Lukas and Reimer, Jan Heinrich and Hagen, Matthias and Potthast, Martin""",13273,5968,62,59,13273,5968,59,62
https://zenodo.org/records/8383863,"""Matti Wiegmann and Magdalena Wolska and Christopher Schröder and Ole Borchardt and Benno Stein and Martin Potthast""",320,192,1119,907,43,42,235,264
https://zenodo.org/records/6873575,"""Kiesel, Johannes and Potthast, Martin and Stein, Benno""",6622,5142,1223,1161,5735,4345,627,675
https://zenodo.org/records/6425595,"""Matti Wiegmann and Michael Vöslke and Martin Potthast and Benno Stein""",55,47,487,472,51,44,468,482
https://zenodo.org/records/5575320,"""Gienapp, Lukas and Kircheis, Wolfgang and Sievers, Bjarne and Stein, Benno and Potthast, Martin""",0,0,284,252,0,0,252,284
https://zenodo.org/records/5495793,"""Erik Körner and Ahmad Dawar Hakimi and Gerhard Heyer and Martin Potthast""",37,32,379,360,37,32,359,378
https://zenodo.org/records/5282635,"""Ahmad Dawar Hakimi and Erik Körner and Gregor Wiedemann and Gerhard Heyer and Martin Potthast""",63,62,409,385,62,61,383,407
https://zenodo.org/records/4108196,"""Lars Meyer and Johannes Kiesel and Martin Potthast and Benno Stein""",107,99,260,245,107,99,245,260
https://zenodo.org/records/3766985,"""Janek Bevendorff and Khalid Al-Khatib and Martin Potthast and Benno Stein""",899,438,1812,1512,899,438,1509,1809
https://zenodo.org/records/7520777,"""Mailach, Alina and Siegmund, Norbert""",24,24,318,309,24,24,309,318
