url,authors,downloads,unique_downloads,views,unique_views,version_downloads,version_unique_downloads,version_unique_views,version_views
https://zenodo.org/records/17541532,"""Kabjesz, Lea and Gihlein, Lea and Lampert, Mara Harriet and Haase, Robert""",298,224,342,312,298,224,312,342
https://zenodo.org/records/17478160,"""Haase, Robert""",11,7,152,142,11,7,142,152
https://zenodo.org/records/17422917,"""Haase, Robert""",302,245,396,388,302,245,388,396
https://zenodo.org/records/17240205,"""Umlauft, Josefine""",386,376,102,93,386,376,93,102
https://zenodo.org/records/17203260,"""Haase, Robert""",523,462,434,417,325,288,376,390
https://zenodo.org/records/17186869,"""Haase, Robert""",491,427,643,634,374,327,522,528
https://zenodo.org/records/17158770,"""Schott, Philipp and Wolf, Gregor and Welz, Oliver""",27,27,220,209,27,27,209,220
https://zenodo.org/records/17158643,"""Welz, Oliver""",152,112,202,192,152,112,192,202
https://zenodo.org/records/17130780,"""Berger, Mike and Täschner, Matthias and Voigt, Pia""",210,190,171,164,210,190,164,171
https://zenodo.org/records/17116758,"""Haase, Robert""",466,409,935,904,466,409,904,935
https://zenodo.org/records/17093197,"""Kabjesz, Lea and Gihlein, Lea and Lampert, Mara Harriet and Götze, Luisa""",674,592,571,552,674,592,552,571
https://zenodo.org/records/17102027,"""Haase, Robert""",314,230,246,233,314,230,233,246
https://zenodo.org/records/17085991,"""Haase, Robert""",942,788,953,904,562,446,686,734
https://zenodo.org/records/17053832,"""Haase, Robert""",327,242,409,402,327,242,402,409
https://zenodo.org/records/17017890,"""Haase, Robert""",177,158,264,260,177,158,260,264
https://zenodo.org/records/16894343,"""Haase, Robert""",127,100,155,142,127,100,142,155
https://zenodo.org/records/15858127,"""Haase, Robert""",14617,13832,2483,2343,3660,3411,970,1073
https://zenodo.org/records/15805268,"""Philipp, Schott and Gregor, Wolf and Oliver, Welz""",136,134,284,264,135,133,261,278
https://zenodo.org/records/15805148,"""Center for Scalable Data Analytics and Artificial Intelligence and Oliver, Welz""",252,224,180,165,252,224,165,180
