url,authors,downloads,unique_downloads,views,unique_views,version_downloads,version_unique_downloads,version_unique_views,version_views
https://zenodo.org/records/17541532,"""Kabjesz, Lea and Gihlein, Lea and Lampert, Mara Harriet and Haase, Robert""",296,222,323,299,296,222,299,323
https://zenodo.org/records/17478160,"""Haase, Robert""",11,7,142,132,11,7,132,142
https://zenodo.org/records/17422917,"""Haase, Robert""",293,236,387,379,293,236,379,387
https://zenodo.org/records/17240205,"""Umlauft, Josefine""",375,365,95,86,375,365,86,95
https://zenodo.org/records/17203260,"""Haase, Robert""",507,446,411,394,311,274,357,371
https://zenodo.org/records/17186869,"""Haase, Robert""",467,407,627,618,352,309,511,517
https://zenodo.org/records/17158770,"""Schott, Philipp and Wolf, Gregor and Welz, Oliver""",24,24,212,201,24,24,201,212
https://zenodo.org/records/17158643,"""Welz, Oliver""",152,112,192,182,152,112,182,192
https://zenodo.org/records/17130780,"""Berger, Mike and Täschner, Matthias and Voigt, Pia""",200,181,164,157,200,181,157,164
https://zenodo.org/records/17116758,"""Haase, Robert""",456,401,913,883,456,401,883,913
https://zenodo.org/records/17093197,"""Kabjesz, Lea and Gihlein, Lea and Lampert, Mara Harriet and Götze, Luisa""",655,573,556,537,655,573,537,556
https://zenodo.org/records/17102027,"""Haase, Robert""",301,217,235,222,301,217,222,235
https://zenodo.org/records/17085991,"""Haase, Robert""",916,762,919,870,554,438,665,713
https://zenodo.org/records/17053832,"""Haase, Robert""",308,227,396,389,308,227,389,396
https://zenodo.org/records/17017890,"""Haase, Robert""",172,154,250,246,172,154,246,250
https://zenodo.org/records/16894343,"""Haase, Robert""",122,95,148,135,122,95,135,148
https://zenodo.org/records/15858127,"""Haase, Robert""",13887,13170,2364,2226,3444,3210,917,1018
https://zenodo.org/records/15805268,"""Philipp, Schott and Gregor, Wolf and Oliver, Welz""",134,132,275,256,133,131,253,269
https://zenodo.org/records/15805148,"""Center for Scalable Data Analytics and Artificial Intelligence and Oliver, Welz""",252,224,174,159,252,224,159,174
https://zenodo.org/records/15735577,"""Haase, Robert""",779,592,894,810,779,592,810,894
https://zenodo.org/records/15706181,"""Haase, Robert""",744,661,413,394,482,414,298,313
https://zenodo.org/records/15699459,"""Haase, Robert""",1116,1019,665,634,920,841,482,507
https://zenodo.org/records/15654889,"""Taeschner, Matthias and Haase, Robert""",390,339,355,342,390,339,342,355
https://zenodo.org/records/15646539,"""Haase, Robert""",537,449,331,316,479,393,282,295
https://zenodo.org/records/15516022,"""Haase, Robert""",2067,1951,503,481,1582,1487,412,432
https://zenodo.org/records/17669681,"""Haase, Robert""",174,156,259,244,174,156,244,259
https://zenodo.org/records/17163932,"""Achkar, Pierre and Gollub, Tim and Potthast, Martin""",347,327,580,525,347,327,525,580
