url,authors,downloads,unique_downloads,views,unique_views,version_downloads,version_unique_downloads,version_unique_views,version_views
https://zenodo.org/records/17541532,"""Kabjesz, Lea and Gihlein, Lea and Lampert, Mara Harriet and Haase, Robert""",251,181,258,239,251,181,239,258
https://zenodo.org/records/17478160,"""Haase, Robert""",7,3,42,35,7,3,35,42
https://zenodo.org/records/17422917,"""Haase, Robert""",219,162,142,135,219,162,135,142
https://zenodo.org/records/17240205,"""Umlauft, Josefine""",225,215,65,57,225,215,57,65
https://zenodo.org/records/17203260,"""Haase, Robert""",330,276,126,116,196,165,88,95
https://zenodo.org/records/17186869,"""Haase, Robert""",311,253,323,314,225,184,226,232
https://zenodo.org/records/17158770,"""Schott, Philipp and Wolf, Gregor and Welz, Oliver""",13,13,164,155,13,13,155,164
https://zenodo.org/records/17158643,"""Welz, Oliver""",129,89,155,145,129,89,145,155
https://zenodo.org/records/17130780,"""Berger, Mike and Täschner, Matthias and Voigt, Pia""",155,138,143,136,155,138,136,143
https://zenodo.org/records/17116758,"""Haase, Robert""",391,339,788,758,391,339,758,788
https://zenodo.org/records/17093197,"""Kabjesz, Lea and Gihlein, Lea and Lampert, Mara Harriet and Götze, Luisa""",369,308,408,392,369,308,392,408
https://zenodo.org/records/17102027,"""Haase, Robert""",226,144,164,151,226,144,151,164
https://zenodo.org/records/17085991,"""Haase, Robert""",706,561,714,667,466,356,521,567
https://zenodo.org/records/17053832,"""Haase, Robert""",212,134,138,131,212,134,131,138
https://zenodo.org/records/17017890,"""Haase, Robert""",94,78,38,35,94,78,35,38
https://zenodo.org/records/16894343,"""Haase, Robert""",88,61,85,74,88,61,74,85
https://zenodo.org/records/15858127,"""Haase, Robert""",9989,9366,1644,1514,2399,2203,684,779
https://zenodo.org/records/15805268,"""Philipp, Schott and Gregor, Wolf and Oliver, Welz""",108,106,200,184,107,105,181,194
https://zenodo.org/records/15805148,"""Center for Scalable Data Analytics and Artificial Intelligence and Oliver, Welz""",230,204,144,130,230,204,130,144
https://zenodo.org/records/15735577,"""Haase, Robert""",642,460,776,692,642,460,692,776
https://zenodo.org/records/15706181,"""Haase, Robert""",549,470,262,245,367,302,189,202
https://zenodo.org/records/15699459,"""Haase, Robert""",586,518,448,435,444,393,303,311
https://zenodo.org/records/15654889,"""Taeschner, Matthias and Haase, Robert""",291,242,257,246,291,242,246,257
https://zenodo.org/records/15646539,"""Haase, Robert""",377,293,229,217,342,260,194,205
https://zenodo.org/records/15516022,"""Haase, Robert""",1395,1292,322,303,999,917,268,285
https://zenodo.org/records/17669681,"""Haase, Robert""",121,106,165,152,121,106,152,165
https://zenodo.org/records/17163932,"""Achkar, Pierre and Gollub, Tim and Potthast, Martin""",188,178,485,434,188,178,434,485
https://zenodo.org/records/16890132,"""Schröder, Christopher and Müller, Lydia and Niekler, Andreas and Potthast, Martin""",548,542,3220,3090,44,42,600,638
https://zenodo.org/records/15347992,"""Heineking, Sebastian and Zelch, Ines and Potthast, Martin and Hagen, Matthias""",1787,1754,1397,1300,629,627,490,522
https://zenodo.org/records/15270283,"""Heineking, Sebastian and Zelch, Ines and Bevendorff, Janek and Stein, Benno and Hagen, Matthias and Potthast, Martin""",3370,3285,2203,1830,1814,1810,665,918
https://zenodo.org/records/13860524,"""Gienapp, Lukas and Potthast, Martin and Wachsmuth, Henning and Hagen, Matthias and Fröbe, Maik and Bondarenko, Alexander and Ajjour, Yamen and Stein, Benno""",5104,3992,866,835,537,533,221,229
https://zenodo.org/records/11203881,"""Deckers, Niklas and Peters, Julia and Potthast, Martin""",90,84,508,468,62,56,307,331
