url,authors,downloads,unique_downloads,views,unique_views,version_downloads,version_unique_downloads,version_unique_views,version_views
https://zenodo.org/records/17541532,"""Kabjesz, Lea and Gihlein, Lea and Lampert, Mara Harriet and Haase, Robert""",290,216,322,298,290,216,298,322
https://zenodo.org/records/17478160,"""Haase, Robert""",7,3,120,110,7,3,110,120
https://zenodo.org/records/17422917,"""Haase, Robert""",288,231,370,363,288,231,363,370
https://zenodo.org/records/17240205,"""Umlauft, Josefine""",375,365,95,86,375,365,86,95
https://zenodo.org/records/17203260,"""Haase, Robert""",492,431,385,368,308,271,332,346
https://zenodo.org/records/17186869,"""Haase, Robert""",461,401,606,597,349,306,494,500
https://zenodo.org/records/17158770,"""Schott, Philipp and Wolf, Gregor and Welz, Oliver""",23,23,205,195,23,23,195,205
https://zenodo.org/records/17158643,"""Welz, Oliver""",152,112,187,177,152,112,177,187
https://zenodo.org/records/17130780,"""Berger, Mike and Täschner, Matthias and Voigt, Pia""",193,176,160,153,193,176,153,160
https://zenodo.org/records/17116758,"""Haase, Robert""",454,399,896,866,454,399,866,896
https://zenodo.org/records/17093197,"""Kabjesz, Lea and Gihlein, Lea and Lampert, Mara Harriet and Götze, Luisa""",649,568,535,516,649,568,516,535
https://zenodo.org/records/17102027,"""Haase, Robert""",299,215,228,215,299,215,215,228
https://zenodo.org/records/17085991,"""Haase, Robert""",895,741,898,849,549,433,647,695
https://zenodo.org/records/17053832,"""Haase, Robert""",294,216,384,377,294,216,377,384
https://zenodo.org/records/17017890,"""Haase, Robert""",170,152,236,232,170,152,232,236
https://zenodo.org/records/16894343,"""Haase, Robert""",122,95,133,120,122,95,120,133
https://zenodo.org/records/15858127,"""Haase, Robert""",13561,12866,2333,2195,3362,3136,900,1001
https://zenodo.org/records/15805268,"""Philipp, Schott and Gregor, Wolf and Oliver, Welz""",132,130,267,248,131,129,245,261
https://zenodo.org/records/15805148,"""Center for Scalable Data Analytics and Artificial Intelligence and Oliver, Welz""",250,222,173,158,250,222,158,173
https://zenodo.org/records/15735577,"""Haase, Robert""",774,587,878,794,774,587,794,878
https://zenodo.org/records/15706181,"""Haase, Robert""",722,639,381,362,469,401,278,293
https://zenodo.org/records/15699459,"""Haase, Robert""",1083,986,648,618,887,808,467,491
https://zenodo.org/records/15654889,"""Taeschner, Matthias and Haase, Robert""",379,328,340,327,379,328,327,340
https://zenodo.org/records/15646539,"""Haase, Robert""",526,441,307,292,471,388,258,271
https://zenodo.org/records/15516022,"""Haase, Robert""",1996,1882,465,443,1532,1439,390,410
https://zenodo.org/records/17669681,"""Haase, Robert""",171,153,244,229,171,153,229,244
https://zenodo.org/records/17163932,"""Achkar, Pierre and Gollub, Tim and Potthast, Martin""",335,315,576,521,335,315,521,576
https://zenodo.org/records/16890132,"""Schröder, Christopher and Müller, Lydia and Niekler, Andreas and Potthast, Martin""",839,828,4058,3911,60,56,789,830
https://zenodo.org/records/15347992,"""Heineking, Sebastian and Zelch, Ines and Potthast, Martin and Hagen, Matthias""",2381,2343,1813,1696,812,810,688,736
https://zenodo.org/records/15270283,"""Heineking, Sebastian and Zelch, Ines and Bevendorff, Janek and Stein, Benno and Hagen, Matthias and Potthast, Martin""",4546,4404,2452,2069,2670,2638,782,1038
https://zenodo.org/records/13860524,"""Gienapp, Lukas and Potthast, Martin and Wachsmuth, Henning and Hagen, Matthias and Fröbe, Maik and Bondarenko, Alexander and Ajjour, Yamen and Stein, Benno""",5685,4572,1027,994,825,820,315,325
https://zenodo.org/records/11203881,"""Deckers, Niklas and Peters, Julia and Potthast, Martin""",117,106,613,568,87,76,377,406
https://zenodo.org/records/10628882,"""Akiki, Christopher and Barschel, Hanno and Elstner, Theresa and Fleisch, Till and Franke, Johannes and Fröbe, Maik and Gienapp, Lukas and Gründel, Marlene and Hagen, Matthias and Kucera, Paul and Marschner, Paul and Niederhausen, Tim and Potthast, Martin and Reimer, Jan Heinrich and Scells, Harrisen and Stein, Benno and Weber, Malte and Wild, Dominic""",31759,22739,136,129,31759,22739,129,136
https://zenodo.org/records/10628640,"""Scells, Harrisen and Elstner, Theresa and Fröbe, Maik and Akiki, Christopher and Gienapp, Lukas and Reimer, Jan Heinrich and Hagen, Matthias and Potthast, Martin""",13412,6089,185,182,13412,6089,182,185
https://zenodo.org/records/10036479,"""Wolska, Magdalena and Wiegmann, Matti and Schröder, Christopher and Borchardt, Ole and Stein, Benno and Potthast, Martin""",113,106,543,529,113,106,529,543
https://zenodo.org/records/8383863,"""Matti Wiegmann and Magdalena Wolska and Christopher Schröder and Ole Borchardt and Benno Stein and Martin Potthast""",365,235,1372,1150,54,52,327,361
https://zenodo.org/records/7976807,"""Wiegmann and Wolska and Schröder and Borchardt and Stein and Potthast""",181,155,673,608,179,153,602,667
