url,authors,downloads,unique_downloads,views,unique_views,version_downloads,version_unique_downloads,version_unique_views,version_views
https://zenodo.org/records/17541532,"""Kabjesz, Lea and Gihlein, Lea and Lampert, Mara Harriet and Haase, Robert""",259,188,277,257,259,188,257,277
https://zenodo.org/records/17478160,"""Haase, Robert""",7,3,48,41,7,3,41,48
https://zenodo.org/records/17422917,"""Haase, Robert""",221,164,204,197,221,164,197,204
https://zenodo.org/records/17240205,"""Umlauft, Josefine""",235,225,71,63,235,225,63,71
https://zenodo.org/records/17203260,"""Haase, Robert""",348,288,192,175,214,177,146,160
https://zenodo.org/records/17186869,"""Haase, Robert""",328,269,393,384,242,200,295,301
https://zenodo.org/records/17158770,"""Schott, Philipp and Wolf, Gregor and Welz, Oliver""",13,13,172,162,13,13,162,172
https://zenodo.org/records/17158643,"""Welz, Oliver""",129,89,160,150,129,89,150,160
https://zenodo.org/records/17130780,"""Berger, Mike and Täschner, Matthias and Voigt, Pia""",157,140,146,139,157,140,139,146
https://zenodo.org/records/17116758,"""Haase, Robert""",396,343,806,776,396,343,776,806
https://zenodo.org/records/17093197,"""Kabjesz, Lea and Gihlein, Lea and Lampert, Mara Harriet and Götze, Luisa""",373,311,418,402,373,311,402,418
https://zenodo.org/records/17102027,"""Haase, Robert""",230,148,172,159,230,148,159,172
https://zenodo.org/records/17085991,"""Haase, Robert""",719,573,742,693,477,366,539,587
https://zenodo.org/records/17053832,"""Haase, Robert""",220,142,198,191,220,142,191,198
https://zenodo.org/records/17017890,"""Haase, Robert""",99,82,56,53,99,82,53,56
https://zenodo.org/records/16894343,"""Haase, Robert""",89,62,88,77,89,62,77,88
https://zenodo.org/records/15858127,"""Haase, Robert""",10193,9569,1765,1634,2476,2279,724,820
https://zenodo.org/records/15805268,"""Philipp, Schott and Gregor, Wolf and Oliver, Welz""",111,109,212,196,110,108,193,206
https://zenodo.org/records/15805148,"""Center for Scalable Data Analytics and Artificial Intelligence and Oliver, Welz""",231,205,147,133,231,205,133,147
https://zenodo.org/records/15735577,"""Haase, Robert""",645,463,790,706,645,463,706,790
https://zenodo.org/records/15706181,"""Haase, Robert""",550,471,269,252,368,303,194,207
https://zenodo.org/records/15699459,"""Haase, Robert""",616,542,465,451,474,417,316,324
https://zenodo.org/records/15654889,"""Taeschner, Matthias and Haase, Robert""",294,245,263,251,294,245,251,263
https://zenodo.org/records/15646539,"""Haase, Robert""",381,297,233,221,346,264,196,207
https://zenodo.org/records/15516022,"""Haase, Robert""",1419,1315,338,319,1023,940,282,299
https://zenodo.org/records/17669681,"""Haase, Robert""",132,115,182,167,132,115,167,182
https://zenodo.org/records/17163932,"""Achkar, Pierre and Gollub, Tim and Potthast, Martin""",193,183,513,460,193,183,460,513
https://zenodo.org/records/16890132,"""Schröder, Christopher and Müller, Lydia and Niekler, Andreas and Potthast, Martin""",554,548,3302,3171,47,45,620,658
https://zenodo.org/records/15347992,"""Heineking, Sebastian and Zelch, Ines and Potthast, Martin and Hagen, Matthias""",1794,1761,1510,1402,630,628,561,604
https://zenodo.org/records/15270283,"""Heineking, Sebastian and Zelch, Ines and Bevendorff, Janek and Stein, Benno and Hagen, Matthias and Potthast, Martin""",3407,3322,2266,1893,1834,1830,695,948
https://zenodo.org/records/13860524,"""Gienapp, Lukas and Potthast, Martin and Wachsmuth, Henning and Hagen, Matthias and Fröbe, Maik and Bondarenko, Alexander and Ajjour, Yamen and Stein, Benno""",5133,4021,917,886,541,537,253,261
https://zenodo.org/records/11203881,"""Deckers, Niklas and Peters, Julia and Potthast, Martin""",90,84,531,491,62,56,327,351
https://zenodo.org/records/10628882,"""Akiki, Christopher and Barschel, Hanno and Elstner, Theresa and Fleisch, Till and Franke, Johannes and Fröbe, Maik and Gienapp, Lukas and Gründel, Marlene and Hagen, Matthias and Kucera, Paul and Marschner, Paul and Niederhausen, Tim and Potthast, Martin and Reimer, Jan Heinrich and Scells, Harrisen and Stein, Benno and Weber, Malte and Wild, Dominic""",31487,22481,119,112,31487,22481,112,119
https://zenodo.org/records/10628640,"""Scells, Harrisen and Elstner, Theresa and Fröbe, Maik and Akiki, Christopher and Gienapp, Lukas and Reimer, Jan Heinrich and Hagen, Matthias and Potthast, Martin""",13354,6037,174,171,13354,6037,171,174
https://zenodo.org/records/10036479,"""Wolska, Magdalena and Wiegmann, Matti and Schröder, Christopher and Borchardt, Ole and Stein, Benno and Potthast, Martin""",96,89,495,481,96,89,481,495
https://zenodo.org/records/8383863,"""Matti Wiegmann and Magdalena Wolska and Christopher Schröder and Ole Borchardt and Benno Stein and Martin Potthast""",342,213,1254,1041,47,45,284,314
https://zenodo.org/records/7976807,"""Wiegmann and Wolska and Schröder and Borchardt and Stein and Potthast""",153,128,620,561,151,126,555,614
https://zenodo.org/records/7525482,"""Niklas Deckers and Maik Fröbe and Johannes Kiesel and Gianluca Pandolfo and Christopher Schröder and Benno Stein and Martin Potthast""",223,190,193,182,176,151,124,130
https://zenodo.org/records/6873575,"""Kiesel, Johannes and Potthast, Martin and Stein, Benno""",7419,5913,1385,1315,6192,4780,754,807
https://zenodo.org/records/6873564,"""Potthast, Martin and Gienapp, Lukas and Wachsmuth, Henning and Hagen, Matthias and Fröbe, Maik and Bondarenko, Alexander and Ajjour, Yamen and Stein, Benno""",5314,3785,1233,1163,506,463,641,689
https://zenodo.org/records/6425595,"""Matti Wiegmann and Michael Vöslke and Martin Potthast and Benno Stein""",63,55,545,529,59,52,525,540
https://zenodo.org/records/5575320,"""Gienapp, Lukas and Kircheis, Wolfgang and Sievers, Bjarne and Stein, Benno and Potthast, Martin""",0,0,361,327,0,0,327,361
https://zenodo.org/records/5575285,"""Gienapp, Lukas and Kircheis, Wolfgang and Sievers, Bjarne and Stein, Benno and Potthast, Martin""",476,351,1091,1007,476,351,1007,1091
https://zenodo.org/records/5495793,"""Erik Körner and Ahmad Dawar Hakimi and Gerhard Heyer and Martin Potthast""",48,43,460,439,48,43,438,459
https://zenodo.org/records/5380989,"""Gregor Wiedemann and Erik Körner and Ahmad Dawar Hakimi and Gerhard Heyer and Martin Potthast""",179,171,467,435,179,171,435,467
